date_start,impressions,cpm,ctr,clicks,spend,cpp
2023-10-10,2234,93.818263,0.581916,13,209.59,102.288921
2023-10-10,9365,486.089696,1.292045,121,4552.23,570.669425




2023-10-10,91,150.769231,0,0,13.72,161.411765
2023-10-10,937,338.847385,1.387407,13,317.5,368.757259

2023-10-10,1874,324.156884,1.173959,22,607.47,344.957411

2023-10-10,4686,543.514725,1.109688,52,2546.91,622.412023

2023-10-10,4955,318.918264,0.928355,46,1580.24,332.192558
2023-10-10,773,357.231565,1.164295,9,276.14,399.623734


2023-10-10,5209,338.869265,0.729507,38,1765.17,369.591709
2023-10-10,2457,384.725275,0.651201,16,945.27,410.629887
2023-10-10,13060,400.454058,0.436447,57,5229.93,433.983072
2023-10-10,2070,337.048309,0.724638,15,697.69,357.057318
2023-10-10,4900,359.342857,0.591837,29,1760.78,386.474978
2023-10-10,2382,417.065491,0.629723,15,993.45,447.903517

























2023-10-10,46326,367.386565,0.535337,248,17019.55,469.854788
2023-10-10,25310,280.438167,0.521533,132,7097.89,305.956722
2023-10-10,1248,39.703526,0.240385,3,49.55,41.95597
2023-10-10,19120,270.490063,0.533473,102,5171.77,292.636791
2023-10-10,137953,256.155792,0.625575,863,35337.46,309.605649
2023-10-10,298570,163.582108,0.528519,1578,48840.71,192.056397
2023-10-10,11787,222.719946,0.678714,80,2625.2,238.416129
2023-10-10,77,415.844156,3.896104,3,32.02,561.754386

2023-10-10,272,492.904412,0.367647,1,134.07,654


2023-10-10,176,404.261364,0,0,71.15,428.614458


2023-10-10,75,270.666667,0,0,20.3,290
2023-10-10,1463,316.493506,0.615174,9,463.03,389.10084

2023-10-10,96,300,2.083333,2,28.8,327.272727
2023-10-10,115,245.73913,0,0,28.26,252.321429
2023-10-10,207,267.149758,0.483092,1,55.3,295.721925











2023-10-10,5544,220.660173,0.4329,24,1223.34,232.662609
2023-10-10,5275,187.220853,0.417062,22,987.59,200.852146
2023-10-10,601,129.168053,0.499168,3,77.63,135.954466
2023-10-10,18538,154.903442,0.415363,77,2871.6,171.428571
2023-10-10,22545,321.27301,0.381459,86,7243.1,421.919963
2023-10-10,90059,144.438313,0.330894,298,13007.97,155.802731
2023-10-10,286025,132.453527,0.250328,716,37885.02,188.384277
2023-10-10,19396,141.439472,0.288719,56,2743.36,167.646052
2023-10-10,135078,97.691408,0.253927,343,13195.96,108.751937
2023-10-10,21604,209.177467,0.393446,85,4519.07,260.510175

2023-10-10,588,117.908163,0.340136,2,69.33,121.845343




2023-10-10,289018,114.845408,0.324893,939,33192.39,137.027271
2023-10-10,5821,219.242398,0.360763,21,1276.21,243.27297
2023-10-10,3778,216.344627,0.370566,14,817.35,237.947598
2023-10-10,2856,188.595938,0.280112,8,538.63,204.181198
2023-10-10,3055,180.032733,0.425532,13,550,197.132616































2023-10-10,311,260.546624,0.321543,1,81.03,282.334495
2023-10-10,4422,249.651741,0.655812,29,1103.96,282.41494






2023-10-10,876,15.490868,0.228311,2,13.57,20.133531
2023-10-10,11,149.090909,0,0,1.64,164
2023-10-10,21876,120.159078,0.516548,113,2628.6,131.931339
2023-10-10,25120,156.540605,0.318471,80,3932.3,165.29214
2023-10-10,3,3.333333,0,0,0.01,3.333333
2023-10-10,17,141.764706,0,0,2.41,150.625
2023-10-10,19,152.105263,0,0,2.89,152.105263
2023-10-10,2,20,0,0,0.04,20
2023-10-10,24991,158.552679,0.276099,69,3962.39,164.067326
2023-10-10,4,7.5,0,0,0.03,7.5
2023-10-10,21,215.238095,0,0,4.52,226










2023-10-10,25890,33.825801,0.907686,235,875.75,71.700508
2023-10-10,18517,47.405087,2.370794,439,877.8,90.18802














2023-10-10,19485,235.058763,0.528612,103,4580.12,327.924393
2023-10-10,9030,178.392027,0.55371,50,1610.88,225.67666
2023-10-10,7175,252.70662,0.571429,41,1813.17,309.626025
2023-10-10,12156,336.557256,0.748602,91,4091.19,459.529372
2023-10-10,37741,105.2023,0.180175,68,3970.44,107.126784
2023-10-10,129,3.488372,0,0,0.45,3.629032
2023-10-10,16,36.875,0,0,0.59,36.875
2023-10-10,63,110.31746,1.587302,1,6.95,112.096774
2023-10-10,159,11.823899,1.257862,2,1.88,11.898734
2023-10-10,44794,111.235433,0.196455,88,4982.68,115.470789
2023-10-10,458,165.10917,0.655022,3,75.62,200.05291
2023-10-10,17109,174.914373,0.496815,85,2992.61,217.834474
2023-10-10,512,177.65625,0.390625,2,90.96,202.583519
2023-10-10,257,112.957198,0.389105,1,29.03,129.598214
2023-10-10,457,182.625821,1.094092,5,83.46,220.211082
2023-10-10,348,158.218391,0.862069,3,55.06,195.248227
2023-10-10,12123,205.262724,0.643405,78,2488.4,268.841832
2023-10-10,8200,268.662195,0.670732,55,2203.03,357.228798
2023-10-10,1307,129.86228,0.612089,8,169.73,156.145354
2023-10-10,217,7.511521,0,0,1.63,7.546296
2023-10-10,39,25.641026,0,0,1,26.315789
2023-10-10,74,89.459459,2.702703,2,6.62,91.944444
2023-10-10,220,8.090909,0,0,1.78,8.165138
2023-10-10,217303,135.179128,1.000446,2174,29374.83,207.13778
2023-10-10,33377,154.153459,0.353537,118,5145.18,174.815847



2023-10-10,627,144.625199,0.318979,2,90.68,146.969206
2023-10-10,587,87.325383,0.340716,2,51.26,88.075601
2023-10-10,363,121.487603,0.550964,2,44.1,121.823204
2023-10-10,547817,56.887136,0.513128,2811,31163.74,71.255673
2023-10-10,97081,49.854554,0.372885,362,4839.93,60.428122
2023-10-10,16921,63.262219,0.455056,77,1070.46,67.17244
2023-10-10,33388,137.166347,0.548101,183,4579.71,177.377513
2023-10-10,36921,84.100106,0.463151,171,3105.06,86.50156
2023-10-10,236793,66.995097,0.447648,1060,15863.97,77.240911
2023-10-10,16316,85.614121,0.569993,93,1396.88,92.514736
2023-10-10,601,179.517471,0.831947,5,107.89,190.282187
2023-10-10,148912,143.027291,0.339798,506,21298.48,174.656443
2023-10-10,8,103.75,0,0,0.83,103.75
2023-10-10,13309,136.933654,0.458336,61,1822.45,144.272483
2023-10-10,8540,99.364169,0.843091,72,848.57,104.969075
